Date,Maximum,Minimum,Average,Precipitation,Weekday,weekday_num,Dispatched_calls
2017-07-22,80,55,67.5,0.0,Saturday,5,394
2017-07-23,70,56,63.0,0.0,Sunday,6,332
2017-07-24,74,55,64.5,0.0,Monday,0,355
2017-07-25,77,63,70.0,0.0,Tuesday,1,320
2017-07-26,73,57,65.0,0.0,Wednesday,2,330
2017-07-27,76,57,66.5,0.0,Thursday,3,336
2017-07-28,67,57,62.0,0.0,Friday,4,371
2017-07-29,68,57,62.5,0.0,Saturday,5,331
2017-07-30,71,57,64.0,0.0,Sunday,6,319
2017-07-31,69,55,62.0,0.0,Monday,0,320
2017-08-01,75,54,64.5,0.0,Tuesday,1,359
2017-08-02,80,56,68.0,0.0,Wednesday,2,308
2017-08-03,78,61,69.5,0.0,Thursday,3,369
2017-08-04,76,60,68.0,,Friday,4,327
2017-08-05,73,59,66.0,0.0,Saturday,5,360
2017-08-06,71,61,66.0,0.0,Sunday,6,319
2017-08-07,71,61,66.0,0.0,Monday,0,339
2017-08-08,71,60,65.5,0.0,Tuesday,1,355
2017-08-09,67,59,63.0,0.0,Wednesday,2,324
2017-08-10,71,59,65.0,0.0,Thursday,3,345
2017-08-11,71,58,64.5,0.0,Friday,4,383
2017-08-12,73,60,66.5,0.0,Saturday,5,328
2017-08-13,72,60,66.0,0.0,Sunday,6,325
2017-08-14,63,59,61.0,0.0,Monday,0,322
2017-08-15,73,59,66.0,0.0,Tuesday,1,332
2017-08-16,75,60,67.5,0.0,Wednesday,2,385
2017-08-17,72,60,66.0,0.0,Thursday,3,358
2017-08-18,72,59,65.5,0.0,Friday,4,374
2017-08-19,76,59,67.5,0.0,Saturday,5,395
2017-08-20,72,61,66.5,0.0,Sunday,6,383
2017-08-21,75,61,68.0,0.0,Monday,0,359
2017-08-22,73,60,66.5,0.0,Tuesday,1,393
2017-08-23,70,59,64.5,0.0,Wednesday,2,359
2017-08-24,70,58,64.0,0.0,Thursday,3,305
2017-08-25,69,55,62.0,0.0,Friday,4,316
2017-08-26,81,53,67.0,0.0,Saturday,5,363
2017-08-27,77,60,68.5,0.0,Sunday,6,344
2017-08-28,73,58,65.5,0.0,Monday,0,346
2017-08-29,67,58,62.5,0.0,Tuesday,1,310
2017-08-30,69,56,62.5,0.0,Wednesday,2,364
2017-08-31,88,56,72.0,0.0,Thursday,3,387
2017-09-01,104,67,85.5,0.0,Friday,4,603
2017-09-02,104,72,88.0,0.0,Saturday,5,627
2017-09-03,86,68,77.0,0.0,Sunday,6,503
2017-09-04,84,68,76.0,0.0,Monday,0,356
2017-09-05,83,60,71.5,0.0,Tuesday,1,371
2017-09-06,78,64,71.0,,Wednesday,2,407
2017-09-07,72,62,67.0,0.0,Thursday,3,378
2017-09-08,72,60,66.0,0.0,Friday,4,336
2017-09-09,75,61,68.0,0.0,Saturday,5,347
2017-09-10,92,61,76.5,0.0,Sunday,6,397
2017-09-11,86,67,76.5,0.22,Monday,0,360
2017-09-12,85,65,75.0,0.0,Tuesday,1,355
2017-09-13,74,63,68.5,0.0,Wednesday,2,326
2017-09-14,71,60,65.5,0.0,Thursday,3,322
2017-09-15,72,58,65.0,0.0,Friday,4,350
2017-09-16,72,56,64.0,0.0,Saturday,5,319
2017-09-17,73,56,64.5,0.0,Sunday,6,291
2017-09-18,73,60,66.5,0.0,Monday,0,343
2017-09-19,73,58,65.5,0.0,Tuesday,1,349
2017-09-20,71,59,65.0,0.0,Wednesday,2,379
2017-09-21,67,56,61.5,0.0,Thursday,3,342
